title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Blueberry Stream	Bits	Bits	6000	8000	9000	0	21.2715									FALSE	5	NP	F	0	-	429		TRUE	7	NP	F	0	-	770		TRUE	8	NP	F	0	-	846										FALSE	7	NP	F	0	-	598		TRUE	9	EX	AAA	1467	11	817	2.12715000E+001	TRUE	10	EX	AA	1470	15	868										
Buffalo	Bits	Bits	4500	7500	10000	0	22.638									FALSE	5	NP	F	0	-	511		FALSE	7	NP	F	0	-	744		TRUE	10	NP	F	0	-	932										FALSE	4	NP	F	0	-	479		FALSE	8	NP	F	0	-	744		TRUE	10	EX	AA	1617	16	932	2.26380000E+001									
Colors (radio edit)	Bits	Bits	6000	9500	12000	16.08	27.356									FALSE	6	NP	F	0	-	751		TRUE	9	HC	B	1308	20	1011		TRUE	12	F	B	1608	115	1258	1.60800000E+001									FALSE	6	NP	F	0	-	714		TRUE	10	NP	F	0	-	1099		TRUE	12	EX	AA	1954	14	1255	2.73560000E+001									
fly through the night	Base	Base	0	0	0	0	23.604									TRUE	4	NP	F	0	-	452		TRUE	7	NP	F	0	-	688		TRUE	8	NP	F	0	-	863										TRUE	4	NP	F	0	-	452		TRUE	8	NP	F	0	-	688		TRUE	10	EX	AA	1686	15	981	2.36040000E+001									
Free Style	Bits	Bits	5500	6000	3500	0	16.575									FALSE	5	NP	F	0	-	473		TRUE	6	NP	F	0	-	571		FALSE	7	NP	F	0	-	664										FALSE	6	NP	F	0	-	473		TRUE	6	FC	AAA	1105	0	579	1.65750000E+001																	
Frozen Ray (original mix)	Bits	Bits	5500	9000	9000	0	22.946									FALSE	6	NP	F	0	-	669		TRUE	9	NP	F	0	-	897		TRUE	9	NP	F	0	-	909										FALSE	5	NP	F	0	-	428		TRUE	9	EX	AAA	1502	4	839		TRUE	9	EX	AA	1639	10	937	2.29460000E+001									
G2	Bits	Bits	7000	8000	11500	0	30.645									FALSE	8	NP	F	0	-	752		FALSE	9	NP	F	0	-	942		TRUE	11	NP	F	0	-	1188										FALSE	6	NP	F	0	-	665		FALSE	7	NP	F	0	-	830		TRUE	12	HC	AA	2270	44	1377	3.06450000E+001									
L'amour et la liberte	Bits	Bits	5000	8000		0	19.502									FALSE	5	NP	F	0	-	521		TRUE	8	NP	F	0	-	811																		FALSE	5	NP	F	0	-	521		TRUE	8	EX	AA	1393	5	811	1.95020000E+001																	
Linus	Base	Base	0	0	0	26.352	28.112									TRUE	5	NP	F	0	-	489		TRUE	9	NP	F	0	-	789		TRUE	11	HC	AA	1952	21	1105	2.63520000E+001									TRUE	5	NP	F	0	-	585		TRUE	9	NP	F	0	-	1007		TRUE	11	EX	AA	2008	20	1210	2.81120000E+001									
NEMESIS	Bits	Bits	6000	9500	11500	12.012	23.299									FALSE	5	NP	F	0	-	524		TRUE	9	NP	F	0	-	839		TRUE	11	EC	B	1144	72	973	1.20120000E+001									FALSE	7	NP	F	0	-	667		TRUE	10	EX	AA	1524	14	977		TRUE	12	EC	A	2026	106	1367	2.32990000E+001									
rottel-da-sun	Bits	Bits	5000	8000	5000	22.372	18.8355									FALSE	5	NP	F	0	-	417		TRUE	8	NP	F	0	-	692		TRUE	10	EX	AA	1598	12	936	2.23720000E+001									FALSE	5	NP	F	0	-	418		TRUE	8	EX	AAA	1299	9	693	1.88355000E+001																	
route 80s	Bits	Bits	6500	9500	10500	0	20.4255									FALSE	6	NP	F	0	-	457		TRUE	8	NP	F	0	-	614		TRUE	9	NP	F	0	-	766										FALSE	7	NP	F	0	-	562		TRUE	11	HC	AA	1239	30	765		TRUE	12	HC	AA	1513	31	900	2.04255000E+001									
Silhoette of My Mind	Bits	Bits	4500	6500		0	12.238									FALSE	4	NP	F	0	-	304		TRUE	6	NP	F	0	-	403																		FALSE	5	NP	F	0	-	339		TRUE	7	EX	AAA	844	3	451	1.22380000E+001																	
Summer Vacation(CU mix)	Bits	Bits	7500	10500		0	30.6315									TRUE	6	NP	F	0	-	667		TRUE	9	NP	F	0	-	949																		TRUE	9	EX	AAA	1814	10	984		TRUE	12	HC	AA	2269	39	1328	3.06315000E+001																	
Take It Easy	Bits	Bits	6500	10500	5500	31.08	36.9605									FALSE	7	NP	F	0	-	760		TRUE	10	NP	F	0	-	1229		TRUE	11	EX	AA	2220	12	1282	3.10800000E+001									FALSE	6	NP	F	0	-	745		TRUE	11	EX	AAA	2549	10	1356	3.69605000E+001																	
VJ ARMY	Bits	Bits	5500	7000	9000	0	26.2845									FALSE	6	NP	F	0	-	663		FALSE	7	NP	F	0	-	893		TRUE	8	NP	F	0	-	972										FALSE	5	NP	F	0	-	658		FALSE	7	NP	F	0	-	839		TRUE	10	HC	AA	1947	21	1138	2.62845000E+001									
こっちを向いてよ	Base	Base	0	0	0	0	26.082									TRUE	5	NP	F	0	-	438		TRUE	6	NP	F	0	-	667		TRUE	7	NP	F	0	-	703										TRUE	6	NP	F	0	-	625		TRUE	9	EX	AAA	1425	7	767		TRUE	11	HC	AA	1932	20	1127	2.60820000E+001									
